iter	Passed	Remaining
0	21	21768
1	36	18342
2	52	17336
3	68	17038
4	80	16087
5	91	15157
6	103	14722
7	113	14111
8	127	13993
9	141	14003
10	155	13957
11	169	13945
12	179	13660
13	190	13414
14	201	13247
15	213	13101
16	222	12866
17	233	12729
18	244	12608
19	254	12482
20	265	12388
21	276	12299
22	286	12183
23	297	12095
24	307	11996
25	318	11918
26	328	11839
27	338	11763
28	349	11693
29	358	11596
30	368	11512
31	379	11476
32	391	11466
33	401	11417
34	412	11382
35	422	11321
36	432	11267
37	445	11282
38	455	11229
39	465	11182
40	479	11216
41	491	11207
42	504	11221
43	517	11240
44	529	11229
45	547	11345
46	562	11408
47	575	11409
48	590	11454
49	603	11473
50	614	11426
51	625	11395
52	635	11348
53	646	11326
54	658	11311
55	669	11280
56	680	11250
57	692	11245
58	704	11241
59	715	11209
60	725	11171
61	737	11163
62	748	11134
63	759	11104
64	772	11111
65	785	11112
66	797	11104
67	811	11128
68	824	11120
69	836	11110
70	847	11082
71	858	11061
72	869	11044
73	886	11093
74	901	11118
75	916	11143
76	928	11132
77	943	11151
78	956	11152
79	968	11142
80	979	11116
81	990	11089
82	1002	11070
83	1014	11060
84	1024	11025
85	1035	11006
86	1048	10998
87	1059	10979
88	1072	10978
89	1083	10950
90	1092	10915
91	1102	10883
92	1112	10849
93	1121	10813
94	1131	10783
95	1141	10753
96	1151	10723
97	1161	10694
98	1171	10663
99	1181	10633
100	1191	10602
101	1202	10587
102	1214	10574
103	1224	10551
104	1234	10523
105	1245	10506
106	1256	10483
107	1266	10463
108	1277	10446
109	1287	10417
110	1297	10392
111	1309	10379
112	1318	10352
113	1328	10323
114	1337	10294
115	1347	10268
116	1357	10246
117	1366	10216
118	1376	10191
119	1385	10163
120	1395	10136
121	1405	10116
122	1415	10089
123	1424	10066
124	1434	10040
125	1444	10019
126	1454	9996
127	1463	9970
128	1473	9948
129	1482	9922
130	1493	9904
131	1502	9879
132	1512	9858
133	1523	9842
134	1533	9826
135	1544	9809
136	1554	9791
137	1564	9775
138	1574	9753
139	1584	9731
140	1593	9710
141	1604	9695
142	1614	9675
143	1629	9688
144	1643	9693
145	1658	9703
146	1671	9701
147	1686	9706
148	1704	9732
149	1719	9742
150	1732	9739
151	1745	9737
152	1758	9732
153	1771	9732
154	1784	9726
155	1796	9719
156	1807	9705
157	1819	9694
158	1832	9695
159	1845	9688
160	1855	9670
161	1865	9651
162	1875	9630
163	1885	9609
164	1894	9585
165	1903	9562
166	1913	9544
167	1923	9524
168	1933	9507
169	1943	9488
170	1952	9467
171	1962	9449
172	1972	9429
173	1982	9410
174	1991	9388
175	2001	9368
176	2011	9353
177	2021	9336
178	2031	9317
179	2040	9296
180	2050	9277
181	2060	9261
182	2069	9240
183	2079	9223
184	2089	9204
185	2098	9185
186	2108	9167
187	2118	9148
188	2127	9129
189	2137	9113
190	2147	9096
191	2156	9077
192	2166	9058
193	2176	9041
194	2185	9024
195	2195	9006
196	2206	8992
197	2216	8977
198	2227	8964
199	2237	8950
200	2247	8933
201	2258	8920
202	2268	8905
203	2279	8892
204	2289	8878
205	2299	8864
206	2310	8852
207	2321	8840
208	2332	8827
209	2343	8815
210	2353	8802
211	2365	8792
212	2375	8777
213	2385	8763
214	2395	8747
215	2405	8732
216	2416	8718
217	2425	8701
218	2436	8687
219	2445	8671
220	2455	8653
221	2464	8637
222	2473	8619
223	2483	8603
224	2493	8588
225	2502	8572
226	2512	8554
227	2521	8539
228	2531	8524
229	2541	8508
230	2551	8494
231	2560	8477
232	2570	8462
233	2580	8448
234	2590	8432
235	2599	8416
236	2609	8401
237	2619	8387
238	2629	8373
239	2640	8360
240	2649	8344
241	2658	8327
242	2669	8315
243	2679	8301
244	2689	8287
245	2699	8272
246	2709	8259
247	2718	8244
248	2729	8232
249	2739	8219
250	2750	8207
251	2760	8193
252	2769	8178
253	2780	8164
254	2790	8151
255	2799	8136
256	2809	8122
257	2819	8107
258	2829	8094
259	2839	8080
260	2848	8065
261	2858	8051
262	2867	8036
263	2877	8023
264	2887	8007
265	2896	7993
266	2906	7977
267	2915	7962
268	2921	7938
269	2930	7924
270	2941	7912
271	2950	7897
272	2960	7884
273	2972	7874
274	2982	7862
275	2991	7848
276	3001	7834
277	3011	7821
278	3021	7809
279	3031	7795
280	3041	7783
281	3051	7768
282	3060	7755
283	3070	7740
284	3079	7725
285	3089	7712
286	3098	7697
287	3107	7683
288	3117	7668
289	3122	7645
290	3132	7630
291	3141	7617
292	3150	7603
293	3160	7589
294	3170	7577
295	3179	7562
296	3189	7548
297	3198	7535
298	3208	7522
299	3218	7509
300	3228	7497
301	3239	7486
302	3248	7472
303	3258	7459
304	3268	7447
305	3277	7433
306	3286	7419
307	3297	7407
308	3306	7394
309	3316	7381
310	3325	7367
311	3334	7353
312	3344	7340
313	3353	7326
314	3363	7314
315	3372	7300
316	3383	7289
317	3392	7275
318	3402	7262
319	3411	7249
320	3421	7236
321	3427	7216
322	3437	7204
323	3447	7193
324	3457	7180
325	3466	7167
326	3476	7154
327	3485	7141
328	3495	7129
329	3505	7117
330	3515	7104
331	3524	7091
332	3534	7079
333	3544	7067
334	3553	7054
335	3563	7041
336	3572	7028
337	3582	7016
338	3592	7004
339	3601	6991
340	3611	6979
341	3620	6966
342	3631	6955
343	3641	6944
344	3651	6932
345	3661	6921
346	3670	6907
347	3679	6894
348	3689	6882
349	3698	6868
350	3708	6856
351	3717	6844
352	3727	6832
353	3737	6820
354	3747	6808
355	3756	6795
356	3765	6782
357	3775	6770
358	3785	6758
359	3795	6747
360	3804	6734
361	3814	6722
362	3824	6710
363	3833	6698
364	3844	6687
365	3854	6676
366	3863	6663
367	3873	6652
368	3883	6640
369	3892	6628
370	3902	6616
371	3912	6604
372	3922	6593
373	3932	6581
374	3942	6571
375	3952	6560
376	3962	6548
377	3973	6538
378	3983	6527
379	3993	6515
380	4004	6506
381	4014	6494
382	4024	6483
383	4035	6473
384	4044	6461
385	4054	6450
386	4064	6437
387	4073	6425
388	4083	6414
389	4093	6402
390	4102	6389
391	4111	6377
392	4121	6366
393	4131	6354
394	4140	6342
395	4150	6331
396	4160	6319
397	4170	6307
398	4179	6295
399	4189	6283
400	4199	6272
401	4208	6261
402	4218	6249
403	4228	6238
404	4239	6227
405	4250	6218
406	4260	6207
407	4269	6195
408	4279	6184
409	4289	6172
410	4299	6161
411	4309	6149
412	4318	6137
413	4328	6127
414	4337	6114
415	4348	6103
416	4357	6092
417	4366	6080
418	4377	6069
419	4386	6058
420	4396	6046
421	4407	6036
422	4417	6025
423	4427	6014
424	4436	6002
425	4446	5991
426	4457	5981
427	4466	5969
428	4476	5958
429	4486	5946
430	4496	5936
431	4506	5924
432	4515	5912
433	4525	5901
434	4534	5890
435	4544	5878
436	4554	5867
437	4566	5858
438	4577	5849
439	4586	5837
440	4596	5826
441	4606	5814
442	4615	5803
443	4624	5791
444	4634	5779
445	4644	5768
446	4654	5758
447	4664	5747
448	4673	5735
449	4682	5723
450	4692	5712
451	4702	5701
452	4712	5689
453	4722	5679
454	4731	5667
455	4741	5656
456	4751	5645
457	4760	5633
458	4770	5622
459	4779	5611
460	4789	5599
461	4798	5588
462	4808	5577
463	4818	5566
464	4828	5554
465	4838	5544
466	4847	5532
467	4857	5522
468	4867	5511
469	4877	5499
470	4887	5489
471	4897	5478
472	4906	5466
473	4916	5455
474	4925	5443
475	4935	5432
476	4944	5421
477	4953	5409
478	4963	5398
479	4973	5387
480	4983	5376
481	4992	5364
482	5002	5354
483	5012	5343
484	5021	5332
485	5031	5321
486	5041	5310
487	5051	5299
488	5061	5289
489	5070	5277
490	5081	5267
491	5090	5256
492	5100	5245
493	5109	5233
494	5119	5223
495	5129	5211
496	5138	5200
497	5149	5190
498	5159	5180
499	5170	5170
500	5180	5159
501	5190	5149
502	5200	5138
503	5210	5127
504	5221	5117
505	5231	5107
506	5242	5097
507	5252	5087
508	5263	5077
509	5272	5065
510	5282	5054
511	5291	5043
512	5300	5032
513	5310	5021
514	5320	5010
515	5329	4998
516	5339	4988
517	5348	4977
518	5358	4965
519	5367	4954
520	5376	4942
521	5386	4932
522	5395	4921
523	5405	4910
524	5414	4898
525	5424	4888
526	5433	4877
527	5444	4866
528	5456	4857
529	5466	4848
530	5476	4837
531	5486	4826
532	5495	4815
533	5506	4804
534	5515	4794
535	5525	4783
536	5534	4772
537	5544	4760
538	5553	4750
539	5563	4739
540	5573	4728
541	5582	4717
542	5592	4706
543	5602	4696
544	5611	4684
545	5621	4674
546	5632	4664
547	5643	4654
548	5655	4645
549	5666	4635
550	5676	4625
551	5687	4615
552	5697	4605
553	5707	4594
554	5717	4584
555	5726	4573
556	5736	4562
557	5746	4552
558	5757	4542
559	5769	4532
560	5779	4522
561	5789	4512
562	5800	4502
563	5809	4491
564	5819	4480
565	5830	4470
566	5841	4461
567	5852	4451
568	5862	4440
569	5873	4430
570	5882	4419
571	5891	4408
572	5901	4397
573	5911	4387
574	5920	4375
575	5930	4365
576	5940	4354
577	5950	4344
578	5959	4333
579	5969	4322
580	5979	4312
581	5989	4301
582	5998	4290
583	6008	4279
584	6017	4269
585	6027	4258
586	6037	4247
587	6047	4237
588	6057	4226
589	6067	4216
590	6076	4205
591	6086	4194
592	6095	4183
593	6105	4173
594	6115	4162
595	6125	4152
596	6134	4141
597	6144	4130
598	6154	4120
599	6163	4109
600	6174	4098
601	6184	4088
602	6193	4077
603	6203	4067
604	6212	4056
605	6223	4046
606	6232	4035
607	6241	4024
608	6251	4013
609	6262	4003
610	6272	3993
611	6282	3983
612	6292	3972
613	6302	3961
614	6311	3951
615	6322	3941
616	6332	3930
617	6342	3920
618	6352	3909
619	6361	3898
620	6371	3888
621	6381	3878
622	6391	3867
623	6400	3856
624	6409	3845
625	6419	3835
626	6429	3824
627	6439	3814
628	6448	3803
629	6458	3792
630	6469	3783
631	6478	3772
632	6488	3761
633	6498	3751
634	6507	3740
635	6517	3730
636	6526	3719
637	6536	3708
638	6545	3698
639	6555	3687
640	6565	3677
641	6574	3666
642	6584	3655
643	6593	3644
644	6603	3634
645	6612	3623
646	6622	3613
647	6632	3603
648	6642	3592
649	6652	3582
650	6662	3571
651	6671	3560
652	6681	3550
653	6690	3539
654	6700	3529
655	6709	3518
656	6719	3507
657	6729	3497
658	6738	3486
659	6748	3476
660	6758	3466
661	6767	3455
662	6778	3445
663	6787	3434
664	6797	3424
665	6806	3413
666	6816	3402
667	6825	3392
668	6835	3381
669	6844	3371
670	6854	3360
671	6864	3350
672	6875	3340
673	6884	3329
674	6894	3319
675	6903	3308
676	6913	3298
677	6922	3287
678	6932	3277
679	6942	3267
680	6953	3257
681	6963	3246
682	6972	3236
683	6982	3225
684	6992	3215
685	7001	3204
686	7011	3194
687	7020	3183
688	7030	3173
689	7040	3163
690	7049	3152
691	7059	3142
692	7069	3131
693	7079	3121
694	7088	3110
695	7098	3100
696	7108	3090
697	7118	3079
698	7128	3069
699	7138	3059
700	7147	3048
701	7157	3038
702	7167	3027
703	7177	3017
704	7186	3007
705	7196	2996
706	7205	2986
707	7215	2975
708	7224	2965
709	7234	2954
710	7244	2944
711	7253	2934
712	7263	2923
713	7273	2913
714	7284	2903
715	7294	2893
716	7304	2882
717	7313	2872
718	7323	2862
719	7334	2852
720	7345	2842
721	7355	2832
722	7364	2821
723	7374	2811
724	7384	2801
725	7395	2791
726	7405	2780
727	7415	2770
728	7424	2760
729	7434	2749
730	7443	2739
731	7453	2728
732	7464	2718
733	7474	2708
734	7484	2698
735	7493	2687
736	7503	2677
737	7512	2667
738	7522	2656
739	7532	2646
740	7541	2635
741	7550	2625
742	7560	2615
743	7569	2604
744	7579	2594
745	7589	2583
746	7598	2573
747	7608	2563
748	7618	2552
749	7628	2542
750	7637	2532
751	7647	2522
752	7657	2511
753	7667	2501
754	7677	2491
755	7687	2481
756	7697	2470
757	7706	2460
758	7716	2450
759	7726	2439
760	7735	2429
761	7745	2419
762	7755	2409
763	7765	2398
764	7775	2388
765	7785	2378
766	7795	2367
767	7804	2357
768	7813	2347
769	7823	2336
770	7832	2326
771	7842	2316
772	7852	2306
773	7861	2295
774	7872	2285
775	7881	2275
776	7892	2265
777	7902	2254
778	7912	2244
779	7922	2234
780	7931	2224
781	7941	2213
782	7951	2203
783	7960	2193
784	7970	2182
785	7979	2172
786	7989	2162
787	7998	2151
788	8008	2141
789	8017	2131
790	8027	2121
791	8037	2110
792	8047	2100
793	8057	2090
794	8066	2080
795	8076	2069
796	8087	2059
797	8097	2049
798	8106	2039
799	8117	2029
800	8126	2018
801	8135	2008
802	8145	1998
803	8155	1988
804	8165	1977
805	8174	1967
806	8185	1957
807	8194	1947
808	8204	1937
809	8214	1926
810	8223	1916
811	8233	1906
812	8242	1895
813	8252	1885
814	8262	1875
815	8272	1865
816	8282	1855
817	8292	1844
818	8304	1835
819	8314	1825
820	8323	1814
821	8333	1804
822	8343	1794
823	8352	1784
824	8362	1773
825	8372	1763
826	8382	1753
827	8391	1743
828	8401	1732
829	8411	1722
830	8420	1712
831	8430	1702
832	8439	1692
833	8449	1681
834	8458	1671
835	8468	1661
836	8478	1651
837	8487	1640
838	8498	1630
839	8508	1620
840	8518	1610
841	8528	1600
842	8537	1590
843	8547	1579
844	8556	1569
845	8566	1559
846	8576	1549
847	8585	1538
848	8595	1528
849	8605	1518
850	8614	1508
851	8624	1498
852	8633	1487
853	8643	1477
854	8653	1467
855	8662	1457
856	8672	1447
857	8681	1436
858	8692	1426
859	8702	1416
860	8712	1406
861	8722	1396
862	8731	1386
863	8741	1375
864	8750	1365
865	8759	1355
866	8769	1345
867	8779	1335
868	8789	1324
869	8799	1314
870	8809	1304
871	8818	1294
872	8828	1284
873	8838	1274
874	8847	1263
875	8857	1253
876	8867	1243
877	8876	1233
878	8886	1223
879	8896	1213
880	8907	1203
881	8917	1193
882	8927	1182
883	8937	1172
884	8946	1162
885	8956	1152
886	8966	1142
887	8975	1132
888	8985	1121
889	8994	1111
890	9004	1101
891	9014	1091
892	9023	1081
893	9033	1071
894	9043	1060
895	9052	1050
896	9061	1040
897	9071	1030
898	9081	1020
899	9090	1010
900	9100	999
901	9110	989
902	9119	979
903	9129	969
904	9138	959
905	9148	949
906	9158	939
907	9168	928
908	9178	918
909	9187	908
910	9197	898
911	9207	888
912	9217	878
913	9226	868
914	9236	858
915	9246	847
916	9255	837
917	9265	827
918	9275	817
919	9284	807
920	9294	797
921	9304	787
922	9314	777
923	9324	766
924	9333	756
925	9344	746
926	9354	736
927	9364	726
928	9373	716
929	9383	706
930	9393	696
931	9403	686
932	9412	675
933	9421	665
934	9431	655
935	9440	645
936	9450	635
937	9459	625
938	9469	615
939	9479	605
940	9489	594
941	9498	584
942	9508	574
943	9520	564
944	9530	554
945	9540	544
946	9549	534
947	9558	524
948	9568	514
949	9578	504
950	9588	494
951	9598	483
952	9609	473
953	9619	463
954	9629	453
955	9639	443
956	9649	433
957	9659	423
958	9669	413
959	9680	403
960	9690	393
961	9701	383
962	9710	373
963	9720	363
964	9730	352
965	9739	342
966	9749	332
967	9759	322
968	9768	312
969	9779	302
970	9789	292
971	9799	282
972	9809	272
973	9819	262
974	9829	252
975	9839	241
976	9849	231
977	9859	221
978	9870	211
979	9880	201
980	9891	191
981	9901	181
982	9911	171
983	9921	161
984	9931	151
985	9941	141
986	9951	131
987	9960	120
988	9970	110
989	9979	100
990	9990	90
991	9999	80
992	10009	70
993	10018	60
994	10027	50
995	10037	40
996	10046	30
997	10056	20
998	10065	10
999	10075	0
